4 số cuối|Last 4 digits
API key chỉ cấu hình qua biến môi trường ADDLIVETAG_API_KEY của backend. Đổi key cần khởi động lại backend; không nhập hoặc lưu key trên web/database. Form này chỉ cập nhật thông tin tài khoản.|The API key is configured through the backend environment variable ADDLIVETAG_API_KEY. Restart the backend after changing it. This form only updates account details.
APPROVE yêu cầu bằng chứng, link affiliate và số hoa hồng hợp lệ. EXCLUDE sẽ loại bỏ khỏi settlement.|Approval requires evidence, an affiliate link and a valid commission amount. Exclusion removes this item from settlement.
APPROVE — Duyệt hoa hồng có bằng chứng|Approve commission with evidence
Account ID phải là các chữ số|Account ID must contain digits only
Attribution UTM:|Attribution UTM:
Batch & Vấn đề|Batches & issues
Bản nháp|Draft
Bằng chứng đối chiếu / Lý do xử lý|Evidence / reason
Bằng chứng đối chiếu thực tế|Reconciliation evidence
Bằng chứng đối chiếu tối thiểu 10 ký tự|Evidence must contain at least 10 characters
Bằng việc đăng nhập, bạn đồng ý với điều khoản bảo mật và sử dụng của Piggy Buy Back.|By signing in, you agree to the privacy and usage terms of Piggy Buy Back.
Bỏ chọn tất cả|Clear selection
Bộ lọc|Filters
Cashback chờ xác nhận|Cashback awaiting confirmation
Cashback dự kiến:|Estimated cashback:
Cashback khách hàng|Customer cashback
Mua sắm và hoàn tiền|Transparent cashback
Chi tiết|Details
Chi tiết commission|Commission details
Chi tiết kỳ thanh toán AddLiveTag|AddLiveTag settlement details
Chi tiết người dùng|User details
Chi tiết sản phẩm|Product details
Chi tiết đơn hàng|Order details
Chi tiết đối soát|Reconciliation details
Chuyển thất bại|Transfer failed
Chào mừng trở lại|Welcome back
Chính sách hệ thống|System policy
Chưa có chuyển đổi được ghi nhận.|No conversions recorded yet.
Chưa có dữ liệu|No data yet
Chưa có link đầu ra|No generated link yet
Chưa có sản phẩm hoàn thành|No completed items
Chưa có thông tin giá|Price unavailable
Chưa có thông tin hoa hồng|Commission unavailable
Chưa có thông tin điều kiện|Eligibility unavailable
Bạn chưa có đơn hàng nào cả. Tạo link mua sắm ngay nào.|No orders yet. Start by creating a shopping link.
Chưa có ảnh sản phẩm|Product image unavailable
Chưa cập nhật|Not updated
Chưa thiết lập cookie|Cookie not configured
Chưa tính vào số dư có thể rút|Not included in your withdrawable balance
Chưa xác thực|Unverified
Chưa xác định trạng thái trả hoa hồng|Commission payment status unknown
Chưa xử lý|Open
Chưa đặt tên|Unnamed
Chưa đồng bộ|Not synced yet
Chưa đủ điều kiện thanh toán. Các lý do chặn:|Not eligible for settlement. Reasons:
Chạy lại batch|Retry batch
Chỉ SUPER_ADMIN có quyền điều chỉnh số dư.|Only SUPER_ADMIN can adjust balances.
Chỉ cần khi APPROVE: ID liên kết affiliate của người dùng để gán đơn và cộng ví. Bỏ trống nếu chọn EXCLUDE.|Required for approval: the user's affiliate link ID for attribution. Leave empty when excluding.
Chỉ cần khi APPROVE: Số tiền VND được chấp nhận sau kiểm tra. Bỏ trống nếu chọn EXCLUDE.|Required for approval: the accepted VND amount after review. Leave empty when excluding.
Các đơn hàng của bạn mua qua Piggy sẽ được hiển thị dưới đây nè.|Only orders attributed to your account are shown.
Chỉ hoa hồng đã xác minh thanh toán và gắn đúng người dùng mới đủ điều kiện quyết toán. Đơn hoàn thành nhưng chờ trả hoa hồng vẫn là dự kiến.|Settlement requires verified commission payment and user attribution. Completed orders with unpaid commissions remain estimates.
Chỉ hỗ trợ link Shopee hợp lệ|Enter a valid Shopee link
Chỉ hỗ trợ đơn AddLiveTag|Only AddLiveTag orders are supported
Chỉ được gửi đến backend để mã hóa. Sau khi lưu không hiển thị lại.|Encrypted by the backend. Not displayed again after saving.
Chỉnh sửa|Edit
Chọn|Select
Chọn commission |Select commission 
Chọn commission đã xác thực, nhập khấu trừ và số tiền thực nhận theo chứng từ.|Select verified commissions and enter deductions and the received amount from the payment documents.
Chọn tài khoản|Select an account
Chọn tài khoản ngân hàng|Select a bank account
Chờ duyệt|Awaiting approval
Chờ quyết toán|Awaiting settlement
Chờ xác nhận|Awaiting confirmation
Chờ xử lý|Pending
Chờ đồng bộ|Queued
Chờ/chạy: {value0} · Lỗi: {value1}|Queued/running: {value0} · Failed: {value1}
Chủ tài khoản|Account holder
Cookie Shopee Affiliate được gửi đến backend để mã hóa an toàn (AES-256-GCM). Sau khi lưu không hiển thị lại trên giao diện web.|The Shopee Affiliate cookie is encrypted by the backend and is not displayed again after saving.
Cookie tối thiểu 10 ký tự|Cookie must contain at least 10 characters
Copy link chia sẻ cho bạn bè|Copy link to share with friends
